Fecha,Hora,HR_local,MPU_roll,MPU_pitch,MPU_acc_x,MPU_acc_y,MPU_acc_z,MPU_gyr_x,MPU_gyr_y,MPU_gyr_z,MPU_estado,TOUCH_roll,TOUCH_pitch,TOUCH_acc_x,TOUCH_acc_y,TOUCH_acc_z,TOUCH_gyr_x,TOUCH_gyr_y,TOUCH_gyr_z,TOUCH_estado
04/04/2026,18:00:00,62,-8.00,1.44,-0.02,-0.14,1.01,0.00,0.22,0.00,0,159.00,24.00,-0.08,0.22,-0.92,-3.80,8.35,-0.10,1
04/04/2026,18:00:01,63,-7.97,1.44,-0.02,-0.14,1.01,0.03,0.22,0.02,0,159.10,24.02,-0.08,0.22,-0.92,-3.74,8.34,-0.07,1
04/04/2026,18:00:02,64,-7.95,1.44,-0.02,-0.14,1.01,0.07,0.21,0.04,0,159.20,24.03,-0.08,0.22,-0.92,-3.68,8.33,-0.04,1
04/04/2026,18:00:03,65,-7.93,1.43,-0.02,-0.14,1.01,0.10,0.20,0.06,0,159.30,24.05,-0.08,0.22,-0.92,-3.62,8.31,-0.02,1
04/04/2026,18:00:04,66,-7.90,1.43,-0.02,-0.14,1.01,0.12,0.18,0.08,0,159.40,24.05,-0.08,0.22,-0.92,-3.57,8.29,0.01,1
04/04/2026,18:00:05,67,-7.88,1.42,-0.02,-0.14,1.01,0.15,0.16,0.09,0,159.50,24.06,-0.08,0.22,-0.92,-3.52,8.27,0.03,1
04/04/2026,18:00:06,68,-7.86,1.41,-0.02,-0.14,1.01,0.17,0.13,0.11,0,159.59,24.06,-0.08,0.22,-0.92,-3.47,8.24,0.05,1
04/04/2026,18:00:07,69,-7.85,1.40,-0.02,-0.14,1.01,0.18,0.10,0.11,0,159.68,24.06,-0.08,0.22,-0.92,-3.43,8.22,0.06,1
04/04/2026,18:00:08,69,-7.84,1.39,-0.02,-0.14,1.01,0.19,0.07,0.12,0,159.77,24.05,-0.08,0.22,-0.92,-3.39,8.18,0.07,1
04/04/2026,18:00:09,70,-7.83,1.38,-0.02,-0.14,1.01,0.20,0.04,0.12,0,159.86,24.05,-0.08,0.22,-0.92,-3.36,8.15,0.08,1
